"","YEAR","NF","PE","NS","NB","PQ","ON","MB","SK","AB","BC","NU","NT","YT","Comments"
"1",1975,0,0,0,0,0,0,4,4,0,0,0,0,0,""
"2",1976,0,0,0,0,0,0,4,4,0,0,0,0,0,""
"3",1977,0,0,0,0,0,0,4,4,0,0,0,0,0,""
"4",1978,0,0,0,0,0,0,4,4,0,0,0,0,0,""
"5",1979,0,0,0,0,0,0,5,4,0,0,0,0,0,""
"6",1980,0,0,0,0,0,0,5,4,0,0,0,0,0,""
"7",1981,0,0,0,0,0,0,5,4,0,0,0,0,0,""
"8",1982,0,0,0,0,0,0,5,4,0,0,0,0,0,""
"9",1983,0,0,0,0,0,0,5,4,0,0,0,0,0,""
"10",1984,0,0,0,0,0,0,5,4,0,0,0,0,0,""
"11",1985,0,0,0,0,0,0,5,5,0,0,0,0,0,""
"12",1986,0,0,0,0,0,0,5,5,0,0,0,0,0,""
"13",1987,0,0,0,0,0,0,5,5,0,0,0,0,0,""
"14",1988,0,0,0,0,0,0,5,5,0,0,0,0,0,""
"15",1989,0,0,0,0,0,0,5,5,0,0,0,0,0,""
"16",1990,0,0,0,0,0,0,5,5,0,0,0,0,0,""
"17",1991,0,0,0,0,0,0,5,5,0,0,0,0,0,""
"18",1992,0,0,0,0,0,0,5,5,0,0,0,0,2,""
"19",1993,0,0,0,0,0,0,5,5,0,0,0,0,2,""
"20",1994,0,0,0,0,0,0,5,5,0,0,0,0,2,""
"21",1995,0,0,0,0,0,0,5,5,0,0,0,0,2,""
"22",1996,0,0,0,0,0,0,5,5,0,0,0,0,2,""
"23",1997,0,0,0,0,0,0,5,5,0,0,0,0,2,""
"24",1998,0,0,0,0,0,0,5,5,0,0,0,0,2,""
"25",1999,0,0,0,0,0,0,5,5,0,0,0,0,2,""
"26",2000,0,0,0,0,0,0,5,5,0,0,0,0,2,"No bag limit found, assuming no change. "
"27",2001,0,0,0,0,0,0,5,5,0,0,0,0,2,""
"28",2002,0,0,0,0,0,0,5,5,0,0,0,0,2,""
"29",2003,0,0,0,0,0,0,5,5,0,0,0,0,2,""
"30",2004,0,0,0,0,0,0,5,5,0,0,0,0,2,""
"31",2005,0,0,0,0,0,0,5,5,0,0,0,0,2,""
"32",2006,0,0,0,0,0,0,5,5,0,0,0,0,2,""
"33",2007,0,0,0,0,0,0,5,5,0,0,0,0,2,""
"34",2008,0,0,0,0,0,0,5,5,0,0,0,0,2,""
"35",2009,0,0,0,0,0,0,5,5,0,0,0,0,2,""
"36",2010,0,0,0,0,0,0,5,5,0,0,0,0,2,""
"37",2011,0,0,0,0,0,0,5,5,0,0,0,0,2,""
"38",2012,0,0,0,0,0,0,5,5,0,0,0,0,2,""
"39",2013,0,0,0,0,0,0,5,5,0,0,0,0,2,""
"40",2014,0,0,0,0,0,0,5,5,0,0,0,0,2,""
"41",2015,0,0,0,0,0,0,5,5,0,0,0,0,2,""
"42",2016,0,0,0,0,0,0,5,5,0,0,0,0,2,""
"43",2017,0,0,0,0,0,0,5,5,0,0,0,0,2,""
"44",2018,0,0,0,0,0,0,5,5,0,0,0,0,2,""
"45",2019,0,0,0,0,0,0,5,5,0,0,0,0,2,""
"46",2020,0,0,0,0,0,0,5,5,5,0,0,0,2,""
"47",2021,0,0,0,0,0,0,5,5,5,0,0,0,2,""
"48",2022,0,0,0,0,0,0,5,5,5,0,0,0,2,""
